size;time;type;grid_size;block_size
8192;0.000000;optimised_shared;2048;8
8192;0.000000;optimised_shared;2048;8
8192;0.000000;optimised_shared;4096;8
8192;0.000000;optimised_shared;4096;8
8192;247.916763;optimised_shared;512;8
8192;271.633820;optimised_shared;512;8
8192;188.581894;optimised_shared;256;8
8192;200.653244;optimised_shared;256;8
8192;234.723969;optimised_shared;512;16
8192;201.761124;optimised_shared;512;16
8192;0.000000;optimised_shared;1024;16
8192;0.000000;optimised_shared;1024;16
8192;0.000000;optimised_shared;2048;16
8192;0.000000;optimised_shared;2048;16
8192;255.497116;optimised_shared;256;16
8192;188.066010;optimised_shared;256;16
8192;222.017090;optimised_shared;128;16
8192;191.212158;optimised_shared;128;16
8192;181.895325;optimised_shared;256;32
8192;259.388885;optimised_shared;256;32
8192;0.000000;optimised_shared;512;32
8192;0.000000;optimised_shared;512;32
8192;0.000000;optimised_shared;1024;32
8192;0.000000;optimised_shared;1024;32
8192;233.394882;optimised_shared;128;32
8192;199.033081;optimised_shared;128;32
8192;191.449509;optimised_shared;64;32
8192;229.155457;optimised_shared;64;32
8192;210.663559;optimised_shared;128;64
8192;280.338684;optimised_shared;128;64
8192;173.880569;optimised_shared;256;64
8192;241.660797;optimised_shared;256;64
8192;197.308090;optimised_shared;512;64
8192;200.542755;optimised_shared;512;64
8192;346.258636;optimised_shared;64;64
8192;181.936569;optimised_shared;64;64
8192;277.408081;optimised_shared;32;64
8192;172.891449;optimised_shared;32;64
8192;256.975708;optimised_shared;64;128
8192;364.473572;optimised_shared;64;128
8192;240.304504;optimised_shared;128;128
8192;292.137848;optimised_shared;128;128
8192;214.220795;optimised_shared;256;128
8192;175.086594;optimised_shared;256;128
8192;247.280899;optimised_shared;32;128
8192;191.569061;optimised_shared;32;128
8192;560.620911;optimised_shared;16;128
8192;172.543579;optimised_shared;16;128
8192;626.307434;optimised_shared;32;256
8192;194.730392;optimised_shared;32;256
8192;207.867065;optimised_shared;64;256
8192;193.971527;optimised_shared;64;256
8192;204.187424;optimised_shared;128;256
8192;182.446777;optimised_shared;128;256
8192;203.654083;optimised_shared;16;256
8192;510.761322;optimised_shared;16;256
8192;179.980255;optimised_shared;8;256
8192;176.447739;optimised_shared;8;256
8192;263.167999;optimised_shared;16;512
8192;173.647430;optimised_shared;16;512
8192;171.272354;optimised_shared;32;512
8192;255.628922;optimised_shared;32;512
8192;173.201599;optimised_shared;64;512
8192;231.708191;optimised_shared;64;512
8192;180.193192;optimised_shared;8;512
8192;229.886688;optimised_shared;8;512
8192;175.538269;optimised_shared;4;512
8192;178.845856;optimised_shared;4;512
8192;252.923325;optimised_shared;8;1024
8192;238.160355;optimised_shared;8;1024
8192;199.734268;optimised_shared;16;1024
8192;184.413177;optimised_shared;16;1024
8192;212.593307;optimised_shared;32;1024
8192;184.672058;optimised_shared;32;1024
8192;293.057404;optimised_shared;4;1024
8192;191.831558;optimised_shared;4;1024
8192;178.507751;optimised_shared;2;1024
8192;356.615173;optimised_shared;2;1024
8192;178.223236;optimised_shared;4;2048
8192;502.564972;optimised_shared;4;2048
8192;184.830460;optimised_shared;8;2048
8192;174.782013;optimised_shared;8;2048
8192;437.066742;optimised_shared;16;2048
8192;192.224030;optimised_shared;16;2048
8192;212.906372;optimised_shared;2;2048
8192;195.353851;optimised_shared;2;2048
8192;179.365601;optimised_shared;1;2048
8192;199.867065;optimised_shared;1;2048
16384;1290.777100;optimised_shared;2048;8
