threads,array_size,random_gen,put_to_buckets,sort_buckets,bucket_offsets,write_to_array,all
6,1000,0.000199,0.000117,0.000084,0.000184,0.000041,0.000625
6,10000,0.000108,0.000287,0.000104,0.000137,0.000062,0.000699
6,100000,0.000220,0.002603,0.000362,0.000087,0.000107,0.003381
6,1000000,0.001546,0.024345,0.000918,0.001752,0.000725,0.029286
6,10000000,0.014888,0.329335,0.005799,0.005462,0.005122,0.360607
6,100000000,0.148584,2.932915,0.051686,0.038775,0.044698,3.216659
6,1000000000,1.668117,32.378545,0.596834,0.442725,0.526445,35.612666
7,1000,0.000229,0.000092,0.000086,0.000177,0.000088,0.000672
7,10000,0.000077,0.000378,0.000122,0.000228,0.000087,0.000892
7,100000,0.000250,0.002284,0.000584,0.000142,0.000148,0.003408
7,1000000,0.001390,0.021050,0.000847,0.001736,0.000612,0.025635
7,10000000,0.012667,0.232303,0.009260,0.006283,0.005089,0.265602
7,100000000,0.127267,2.307335,0.052910,0.036352,0.044042,2.567907
7,1000000000,1.463207,26.053333,0.519739,0.594709,0.525973,29.156963
8,1000,0.000261,0.000126,0.000051,0.000199,0.000105,0.000742
8,10000,0.000093,0.000309,0.000085,0.000199,0.000083,0.000769
8,100000,0.000196,0.002002,0.000495,0.000221,0.000122,0.003037
8,1000000,0.001310,0.017190,0.000787,0.002036,0.000522,0.021845
8,10000000,0.011341,0.199963,0.005385,0.004905,0.003944,0.225539
8,100000000,0.110946,2.269720,0.045191,0.037575,0.036084,2.499517
8,1000000000,1.288922,26.116927,0.468041,0.780265,0.605327,29.259482
9,1000,0.000253,0.000104,0.000074,0.000118,0.000066,0.000616
9,10000,0.000111,0.000305,0.000124,0.000169,0.000117,0.000827
9,100000,0.000253,0.002223,0.000398,0.000225,0.000125,0.003224
9,1000000,0.001940,0.020512,0.001030,0.000742,0.000760,0.024988
9,10000000,0.018950,0.232298,0.006595,0.006955,0.006500,0.271298
9,100000000,0.124362,2.305788,0.045800,0.046116,0.041590,2.563657
9,1000000000,1.191566,22.978264,0.435713,0.406952,0.395052,25.407547
10,1000,0.000312,0.000112,0.000060,0.000207,0.000114,0.000806
10,10000,0.000088,0.000353,0.000087,0.000190,0.000077,0.000795
10,100000,0.000219,0.002182,0.000441,0.000213,0.000149,0.003204
10,1000000,0.001755,0.017961,0.000870,0.002026,0.000831,0.023443
10,10000000,0.017443,0.220156,0.006775,0.007320,0.005763,0.257457
10,100000000,0.108460,2.275526,0.049006,0.043084,0.037767,2.513844
10,1000000000,1.099477,26.334417,0.457935,0.571675,0.475250,28.938754
